 1.93183e-07 4.06443e-08 0  0.806817 0.587674 0 
 1.96918e-07 4.18604e-08 0  0.803082 0.592741 0 
 2.00685e-07 4.31e-08 0  0.799315 0.597785 0 
 2.04483e-07 4.43634e-08 0  0.795517 0.602805 0 
 2.08314e-07 4.56507e-08 0  0.791686 0.607801 0 
 2.12175e-07 4.69621e-08 0  0.787825 0.612772 0 
 2.16068e-07 4.82978e-08 0  0.783932 0.61772 0 
 2.19992e-07 4.96581e-08 0  0.780008 0.622643 0 
 2.23947e-07 5.10431e-08 0  0.776053 0.627541 0 
 2.27933e-07 5.24531e-08 0  0.772067 0.632414 0 
 2.3195e-07 5.38881e-08 0  0.76805 0.637262 0 
 2.35997e-07 5.53485e-08 0  0.764003 0.642085 0 
 2.40074e-07 5.68343e-08 0  0.759926 0.646882 0 
 2.44182e-07 5.83459e-08 0  0.755818 0.651654 0 
 2.48319e-07 5.98833e-08 0  0.751681 0.6564 0 
 2.52487e-07 6.14468e-08 0  0.747513 0.66112 0 
 2.56684e-07 6.30366e-08 0  0.743316 0.665813 0 
 2.6091e-07 6.46528e-08 0  0.73909 0.67048 0 
 2.65166e-07 6.62957e-08 0  0.734834 0.67512 0 
 2.69452e-07 6.79653e-08 0  0.730548 0.679734 0 
 2.73766e-07 6.9662e-08 0  0.726234 0.68432 0 
 2.78109e-07 7.13859e-08 0  0.721891 0.68888 0 
 2.82481e-07 7.31372e-08 0  0.717519 0.693411 0 
 2.86881e-07 7.4916e-08 0  0.713119 0.697916 0 
 2.9131e-07 7.67225e-08 0  0.70869 0.702392 0 
 2.95766e-07 7.8557e-08 0  0.704234 0.706841 0 
 3.00251e-07 8.04195e-08 0  0.699749 0.711262 0 
 3.04764e-07 8.23103e-08 0  0.695236 0.715654 0 
 3.09304e-07 8.42296e-08 0  0.690696 0.720018 0 
 3.13872e-07 8.61775e-08 0  0.686128 0.724353 0 
 3.18467e-07 8.81542e-08 0  0.681533 0.72866 0 
 3.23089e-07 9.01598e-08 0  0.676911 0.732937 0 
 3.27737e-07 9.21946e-08 0  0.672263 0.737186 0 
 3.32413e-07 9.42586e-08 0  0.667587 0.741405 0 
 3.37115e-07 9.63522e-08 0  0.662885 0.745595 0 
 3.41844e-07 9.84754e-08 0  0.658156 0.749755 0 
 3.46599e-07 1.00628e-07 0  0.653401 0.753885 0 
 3.51379e-07 1.02811e-07 0  0.648621 0.757985 0 
 3.56186e-07 1.05024e-07 0  0.643814 0.762055 0 
 3.61018e-07 1.07268e-07 0  0.638982 0.766095 0 
 3.65875e-07 1.09542e-07 0  0.634125 0.770104 0 
 3.70758e-07 1.11846e-07 0  0.629242 0.774083 0 
 3.75666e-07 1.14182e-07 0  0.624334 0.778031 0 
 3.80599e-07 1.16548e-07 0  0.619401 0.781948 0 
 3.85556e-07 1.18945e-07 0  0.614444 0.785834 0 
 3.90537e-07 1.21374e-07 0  0.609463 0.789688 0 
 3.95543e-07 1.23834e-07 0  0.604457 0.793511 0 
 4.00573e-07 1.26325e-07 0  0.599427 0.797303 0 
 4.05627e-07 1.28849e-07 0  0.594373 0.801063 0 
 4.10704e-07 1.31404e-07 0  0.589296 0.804791 0 
 4.15805e-07 1.33991e-07 0  0.584195 0.808487 0 
 4.20929e-07 1.3661e-07 0  0.579071 0.812151 0 
 4.26076e-07 1.39262e-07 0  0.573924 0.815782 0 
 4.31246e-07 1.41946e-07 0  0.568754 0.819382 0 
 4.36439e-07 1.44662e-07 0  0.563561 0.822948 0 
 4.41654e-07 1.47412e-07 0  0.558346 0.826482 0 
 4.46891e-07 1.50194e-07 0  0.553109 0.829983 0 
 4.52151e-07 1.53009e-07 0  0.547849 0.833451 0 
 4.57432e-07 1.55858e-07 0  0.542568 0.836885 0 
 4.62734e-07 1.5874e-07 0  0.537266 0.840287 0 
 4.68058e-07 1.61655e-07 0  0.531942 0.843655 0 
 4.73403e-07 1.64604e-07 0  0.526597 0.846989 0 
 4.78769e-07 1.67586e-07 0  0.521231 0.85029 0 
 4.84156e-07 1.70603e-07 0  0.515844 0.853557 0 
 4.89564e-07 1.73653e-07 0  0.510436 0.85679 0 
 4.94991e-07 1.76737e-07 0  0.505009 0.859988 0 
 5.00439e-07 1.79856e-07 0  0.499561 0.863153 0 
 5.05907e-07 1.83009e-07 0  0.494093 0.866283 0 
 5.11394e-07 1.86196e-07 0  0.488606 0.869379 0 
